tol,tau,n_pairs,geom_mean_speedup,geom_ci_low,geom_ci_high,win_rate,win_ci_low,win_ci_high,median_speedup,wilcoxon_p,sign_p
0.001,0.01,15,1.160139570394759,0.6186887217431292,2.3370561264858316,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.001,0.1,15,1.160139570394759,0.5958993414577314,2.2900056059859546,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.001,1.0,15,1.160139570394759,0.6076753131449198,2.2857782643122717,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.001,10.0,15,1.160139570394759,0.617627689263084,2.321296069263726,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.001,100.0,15,1.160139570394759,0.6132387003702158,2.2472802369234057,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.001,1000.0,15,1.160139570394759,0.6092786393399172,2.286891553162371,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.001,10000.0,15,1.160139570394759,0.6096530852453949,2.281352079011,0.4,0.1982449614134158,0.6425316987937539,0.97,0.488983154296875,0.84912109375
0.01,0.01,16,1.7049998660559214,1.018534138022059,3.1449349094182804,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.01,0.1,16,1.7049998660559214,1.0246697339748148,3.093629114527237,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.01,1.0,16,1.7049998660559214,1.021492526399864,3.0828727588153892,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.01,10.0,16,1.7049998660559214,1.020488036453283,3.1533585694935105,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.01,100.0,16,1.7049998660559214,1.024769623343948,3.15266190513459,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.01,1000.0,16,1.7049998660559214,1.0304895004132533,3.1200144146791793,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.01,10000.0,16,1.7049998660559214,1.013757072812534,3.1422658886762354,0.5,0.27999563610326017,0.7200043638967398,1.1315476127852508,0.105712890625,0.5981903076171875
0.1,0.01,20,1.848352678426909,1.165174394266243,2.880607511917983,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
0.1,0.1,20,1.848352678426909,1.1720134456426938,2.9130248017248768,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
0.1,1.0,20,1.848352678426909,1.1834036246475514,2.904287552983498,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
0.1,10.0,20,1.848352678426909,1.1522869157039504,2.8741551469423214,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
0.1,100.0,20,1.848352678426909,1.1656273962197035,2.8903147056843177,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
0.1,1000.0,20,1.848352678426909,1.1688373606773739,2.8790001830132437,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
0.1,10000.0,20,1.848352678426909,1.1706448287464557,2.898731167754157,0.7,0.4810271816464765,0.8545227551323956,2.0856653614614213,0.011975288391113281,0.057659149169921875
