Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
λ=1e-06,10.0%,3.063e-03,2.785e-03,2.785e-03,259,449,1.73,2.590,4.490,1.73,25.900,44.900,1.73,259,449,1.73,2590,4490,1.73,2.590e+04,4.490e+04,1.73,2.590e+05,4.490e+05,1.73,2.590e+06,4.490e+06,1.73
λ=1e-06,1.0%,2.813e-03,2.785e-03,2.785e-03,490,477,0.97,4.900,4.770,0.97,49.000,47.700,0.97,490,477,0.97,4900,4770,0.97,4.900e+04,4.770e+04,0.97,4.900e+05,4.770e+05,0.97,4.900e+06,4.770e+06,0.97
λ=1e-06,0.10%,2.788e-03,2.785e-03,2.785e-03,539,533,0.99,5.390,5.330,0.99,53.900,53.300,0.99,539,533,0.99,5390,5330,0.99,5.390e+04,5.330e+04,0.99,5.390e+05,5.330e+05,0.99,5.390e+06,5.330e+06,0.99
λ=1e-07,10.0%,1.001e-04,9.104e-05,9.104e-05,469,645,1.38,4.690,6.450,1.38,46.900,64.500,1.38,469,645,1.38,4690,6450,1.38,4.690e+04,6.450e+04,1.38,4.690e+05,6.450e+05,1.38,4.690e+06,6.450e+06,1.38
λ=1e-07,1.0%,9.195e-05,9.104e-05,9.104e-05,504,666,1.32,5.040,6.660,1.32,50.400,66.600,1.32,504,666,1.32,5040,6660,1.32,5.040e+04,6.660e+04,1.32,5.040e+05,6.660e+05,1.32,5.040e+06,6.660e+06,1.32
λ=1e-07,0.10%,9.113e-05,9.104e-05,9.104e-05,518,680,1.31,5.180,6.800,1.31,51.800,68.000,1.31,518,680,1.31,5180,6800,1.31,5.180e+04,6.800e+04,1.31,5.180e+05,6.800e+05,1.31,5.180e+06,6.800e+06,1.31
λ=1e-08,10.0%,4.883e-05,4.439e-05,4.439e-05,692,645,0.93,6.920,6.450,0.93,69.200,64.500,0.93,692,645,0.93,6920,6450,0.93,6.920e+04,6.450e+04,0.93,6.920e+05,6.450e+05,0.93,6.920e+06,6.450e+06,0.93
λ=1e-08,1.0%,4.483e-05,4.439e-05,4.439e-05,839,715,0.85,8.390,7.150,0.85,83.900,71.500,0.85,839,715,0.85,8390,7150,0.85,8.390e+04,7.150e+04,0.85,8.390e+05,7.150e+05,0.85,8.390e+06,7.150e+06,0.85
λ=1e-08,0.10%,4.443e-05,4.439e-05,4.439e-05,853,722,0.85,8.530,7.220,0.85,85.300,72.200,0.85,853,722,0.85,8530,7220,0.85,8.530e+04,7.220e+04,0.85,8.530e+05,7.220e+05,0.85,8.530e+06,7.220e+06,0.85
