Configuration,Bayesian Final Cost,Multi-start Final Cost,Cost Ratio,Bayesian Evals,Multi-start Evals,Speedup
λ=1e-08,8.149e-06,8.146e-06,1.00,2722,523,0.2×
λ=1e-07,5.336e-05,5.336e-05,1.00,381,388,1.0×
λ=1e-06,1.556e-03,1.556e-03,1.00,844,793,0.9×
λ=1e-05,2.694e-02,2.694e-02,1.00,219,1027,4.7×
