Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
λ=1e-05,10.0%,2.437e-02,2.215e-02,2.215e-02,261,963,3.69,2.610,9.630,3.69,26.100,96.300,3.69,261,963,3.69,2610,9630,3.69,2.610e+04,9.630e+04,3.69,2.610e+05,9.630e+05,3.69,2.610e+06,9.630e+06,3.69
λ=1e-05,1.0%,2.237e-02,2.215e-02,2.215e-02,482,16433,34.09,4.820,164.330,34.09,48.200,1643.300,34.09,482,1.643e+04,34.09,4820,1.643e+05,34.09,4.820e+04,1.643e+06,34.09,4.820e+05,1.643e+07,34.09,4.820e+06,1.643e+08,34.09
λ=1e-05,0.10%,2.217e-02,2.215e-02,2.215e-02,651,16498,25.34,6.510,164.980,25.34,65.100,1649.800,25.34,651,1.650e+04,25.34,6510,1.650e+05,25.34,6.510e+04,1.650e+06,25.34,6.510e+05,1.650e+07,25.34,6.510e+06,1.650e+08,25.34
λ=1e-07,10.0%,3.379e-05,3.310e-05,3.072e-05,1429,4239,2.97,14.290,42.390,2.97,142.900,423.900,2.97,1429,4239,2.97,1.429e+04,4.239e+04,2.97,1.429e+05,4.239e+05,2.97,1.429e+06,4.239e+06,2.97,1.429e+07,4.239e+07,2.97
λ=1e-07,1.0%,3.103e-05,3.310e-05,3.072e-05,N/A,14132,N/A,N/A,141.320,N/A,N/A,1413.200,N/A,N/A,1.413e+04,N/A,N/A,1.413e+05,N/A,N/A,1.413e+06,N/A,N/A,1.413e+07,N/A,N/A,1.413e+08,N/A
λ=1e-07,0.10%,3.075e-05,3.310e-05,3.072e-05,N/A,14249,N/A,N/A,142.490,N/A,N/A,1424.900,N/A,N/A,1.425e+04,N/A,N/A,1.425e+05,N/A,N/A,1.425e+06,N/A,N/A,1.425e+07,N/A,N/A,1.425e+08,N/A
λ=1e-08,10.0%,5.339e-06,4.925e-06,4.854e-06,8365,14535,1.74,83.650,145.350,1.74,836.500,1453.500,1.74,8365,1.454e+04,1.74,8.365e+04,1.454e+05,1.74,8.365e+05,1.454e+06,1.74,8.365e+06,1.454e+07,1.74,8.365e+07,1.454e+08,1.74
λ=1e-08,1.0%,4.902e-06,4.925e-06,4.854e-06,N/A,16134,N/A,N/A,161.340,N/A,N/A,1613.400,N/A,N/A,1.613e+04,N/A,N/A,1.613e+05,N/A,N/A,1.613e+06,N/A,N/A,1.613e+07,N/A,N/A,1.613e+08,N/A
λ=1e-08,0.10%,4.859e-06,4.925e-06,4.854e-06,N/A,16160,N/A,N/A,161.600,N/A,N/A,1616.000,N/A,N/A,1.616e+04,N/A,N/A,1.616e+05,N/A,N/A,1.616e+06,N/A,N/A,1.616e+07,N/A,N/A,1.616e+08,N/A
