Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
λ=1e-05,10.0%,2.634e-02,2.395e-02,2.395e-02,464,6249,13.47,4.640,62.490,13.47,46.400,624.900,13.47,464,6249,13.47,4640,6.249e+04,13.47,4.640e+04,6.249e+05,13.47,4.640e+05,6.249e+06,13.47,4.640e+06,6.249e+07,13.47
λ=1e-05,1.0%,2.419e-02,2.395e-02,2.395e-02,563,6370,11.31,5.630,63.700,11.31,56.300,637.000,11.31,563,6370,11.31,5630,6.370e+04,11.31,5.630e+04,6.370e+05,11.31,5.630e+05,6.370e+06,11.31,5.630e+06,6.370e+07,11.31
λ=1e-05,0.10%,2.397e-02,2.395e-02,2.395e-02,585,6381,10.91,5.850,63.810,10.91,58.500,638.100,10.91,585,6381,10.91,5850,6.381e+04,10.91,5.850e+04,6.381e+05,10.91,5.850e+05,6.381e+06,10.91,5.850e+06,6.381e+07,10.91
λ=1e-06,10.0%,1.377e-03,1.252e-03,1.252e-03,629,3103,4.93,6.290,31.030,4.93,62.900,310.300,4.93,629,3103,4.93,6290,3.103e+04,4.93,6.290e+04,3.103e+05,4.93,6.290e+05,3.103e+06,4.93,6.290e+06,3.103e+07,4.93
λ=1e-06,1.0%,1.265e-03,1.252e-03,1.252e-03,8714,3191,0.37,87.140,31.910,0.37,871.400,319.100,0.37,8714,3191,0.37,8.714e+04,3.191e+04,0.37,8.714e+05,3.191e+05,0.37,8.714e+06,3.191e+06,0.37,8.714e+07,3.191e+07,0.37
λ=1e-06,0.10%,1.253e-03,1.252e-03,1.252e-03,8736,3279,0.38,87.360,32.790,0.38,873.600,327.900,0.38,8736,3279,0.38,8.736e+04,3.279e+04,0.38,8.736e+05,3.279e+05,0.38,8.736e+06,3.279e+06,0.38,8.736e+07,3.279e+07,0.38
λ=1e-07,10.0%,4.190e-05,3.809e-05,3.998e-05,3960,32693,8.26,39.600,326.930,8.26,396.000,3269.300,8.26,3960,3.269e+04,8.26,3.960e+04,3.269e+05,8.26,3.960e+05,3.269e+06,8.26,3.960e+06,3.269e+07,8.26,3.960e+07,3.269e+08,8.26
λ=1e-07,1.0%,3.847e-05,3.809e-05,3.998e-05,6732,N/A,N/A,67.320,N/A,N/A,673.200,N/A,N/A,6732,N/A,N/A,6.732e+04,N/A,N/A,6.732e+05,N/A,N/A,6.732e+06,N/A,N/A,6.732e+07,N/A,N/A
λ=1e-07,0.10%,3.813e-05,3.809e-05,3.998e-05,6754,N/A,N/A,67.540,N/A,N/A,675.400,N/A,N/A,6754,N/A,N/A,6.754e+04,N/A,N/A,6.754e+05,N/A,N/A,6.754e+06,N/A,N/A,6.754e+07,N/A,N/A
λ=1e-08,10.0%,6.125e-06,5.569e-06,5.605e-06,12692,37632,2.97,126.920,376.320,2.97,1269.200,3763.200,2.97,1.269e+04,3.763e+04,2.97,1.269e+05,3.763e+05,2.97,1.269e+06,3.763e+06,2.97,1.269e+07,3.763e+07,2.97,1.269e+08,3.763e+08,2.97
λ=1e-08,1.0%,5.624e-06,5.569e-06,5.605e-06,12736,37676,2.96,127.360,376.760,2.96,1273.600,3767.600,2.96,1.274e+04,3.768e+04,2.96,1.274e+05,3.768e+05,2.96,1.274e+06,3.768e+06,2.96,1.274e+07,3.768e+07,2.96,1.274e+08,3.768e+08,2.96
λ=1e-08,0.10%,5.574e-06,5.569e-06,5.605e-06,12758,N/A,N/A,127.580,N/A,N/A,1275.800,N/A,N/A,1.276e+04,N/A,N/A,1.276e+05,N/A,N/A,1.276e+06,N/A,N/A,1.276e+07,N/A,N/A,1.276e+08,N/A,N/A
