tol,term,estimate,ci_low,ci_high,p_value,R2,n_used,n_missing,dof
0.001,Intercept,2.2012520922515852,-4.445421640754558,8.847925825257729,0.4728725649920422,0.35817437724413204,12,4,9
0.001,coils,0.37612765692914796,-0.3561896952935599,1.1084450091518558,0.27517173494008307,0.35817437724413204,12,4,9
0.001,log_lambda,0.2152345896119805,-0.13955542861940984,0.5700246078433708,0.20318479772484443,0.35817437724413204,12,4,9
0.01,Intercept,0.600325818983972,-3.020825142388669,4.221476780356613,0.7195403939116471,0.598240353946558,13,3,10
0.01,coils,0.5839264723765631,0.17355622762077338,0.9942967171323529,0.009979568563298402,0.598240353946558,13,3,10
0.01,log_lambda,0.13762475133063343,-0.0610937157741884,0.3363432184354552,0.1538306623585859,0.598240353946558,13,3,10
0.1,Intercept,1.9264143924836388,-1.46967733894988,5.322506123917158,0.2421418009114873,0.33152246628397253,16,0,13
0.1,coils,0.2985732762507931,-0.0468161379755998,0.643962690477186,0.08453241438676273,0.33152246628397253,16,0,13
0.1,log_lambda,0.16257749379573183,-0.03734120766337484,0.3624961952548385,0.10245455917403645,0.33152246628397253,16,0,13
