tol,n_pairs,geom_mean_speedup,geom_ci_low,geom_ci_high,win_rate,win_ci_low,win_ci_high,median_speedup,wilcoxon_p,sign_p
0.001,12,1.263186156326924,0.5760595027414558,2.89992117684641,0.4166666666666667,0.19326031365875668,0.6804886874504503,0.9799489782636644,0.425048828125,0.80615234375
0.01,13,1.6908691115853072,0.9759566329345373,3.329672014657579,0.46153846153846156,0.232060678095383,0.7085620428549398,0.97,0.1878662109375,0.70947265625
0.1,16,1.7446140749023202,1.0527328549496433,2.8865317007651177,0.6875,0.44404355834740666,0.8583535614521796,1.7349927953740902,0.0326995849609375,0.1050567626953125
