Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
λ=1e-05,10.0%,3.582e-02,3.256e-02,3.256e-02,79,266,3.37,0.790,2.660,3.37,7.900,26.600,3.37,79,266,3.37,790,2660,3.37,7900,2.660e+04,3.37,7.900e+04,2.660e+05,3.37,7.900e+05,2.660e+06,3.37
λ=1e-05,1.0%,3.289e-02,3.256e-02,3.256e-02,203,276,1.36,2.030,2.760,1.36,20.300,27.600,1.36,203,276,1.36,2030,2760,1.36,2.030e+04,2.760e+04,1.36,2.030e+05,2.760e+05,1.36,2.030e+06,2.760e+06,1.36
λ=1e-05,0.10%,3.260e-02,3.256e-02,3.256e-02,208,286,1.38,2.080,2.860,1.38,20.800,28.600,1.38,208,286,1.38,2080,2860,1.38,2.080e+04,2.860e+04,1.38,2.080e+05,2.860e+05,1.38,2.080e+06,2.860e+06,1.38
λ=1e-06,10.0%,6.551e-03,5.956e-03,5.956e-03,239,116,0.49,2.390,1.160,0.49,23.900,11.600,0.49,239,116,0.49,2390,1160,0.49,2.390e+04,1.160e+04,0.49,2.390e+05,1.160e+05,0.49,2.390e+06,1.160e+06,0.49
λ=1e-06,1.0%,6.015e-03,5.956e-03,5.956e-03,249,126,0.51,2.490,1.260,0.51,24.900,12.600,0.51,249,126,0.51,2490,1260,0.51,2.490e+04,1.260e+04,0.51,2.490e+05,1.260e+05,0.51,2.490e+06,1.260e+06,0.51
λ=1e-06,0.10%,5.961e-03,5.956e-03,5.956e-03,254,131,0.52,2.540,1.310,0.52,25.400,13.100,0.52,254,131,0.52,2540,1310,0.52,2.540e+04,1.310e+04,0.52,2.540e+05,1.310e+05,0.52,2.540e+06,1.310e+06,0.52
λ=1e-07,10.0%,3.218e-03,2.925e-03,2.925e-03,244,171,0.70,2.440,1.710,0.70,24.400,17.100,0.70,244,171,0.70,2440,1710,0.70,2.440e+04,1.710e+04,0.70,2.440e+05,1.710e+05,0.70,2.440e+06,1.710e+06,0.70
λ=1e-07,1.0%,2.955e-03,2.925e-03,2.925e-03,249,241,0.97,2.490,2.410,0.97,24.900,24.100,0.97,249,241,0.97,2490,2410,0.97,2.490e+04,2.410e+04,0.97,2.490e+05,2.410e+05,0.97,2.490e+06,2.410e+06,0.97
λ=1e-07,0.10%,2.928e-03,2.925e-03,2.925e-03,254,246,0.97,2.540,2.460,0.97,25.400,24.600,0.97,254,246,0.97,2540,2460,0.97,2.540e+04,2.460e+04,0.97,2.540e+05,2.460e+05,0.97,2.540e+06,2.460e+06,0.97
λ=1e-08,10.0%,3.148e-03,2.862e-03,2.862e-03,220,551,2.50,2.200,5.510,2.50,22.000,55.100,2.50,220,551,2.50,2200,5510,2.50,2.200e+04,5.510e+04,2.50,2.200e+05,5.510e+05,2.50,2.200e+06,5.510e+06,2.50
λ=1e-08,1.0%,2.891e-03,2.862e-03,2.862e-03,280,561,2.00,2.800,5.610,2.00,28.000,56.100,2.00,280,561,2.00,2800,5610,2.00,2.800e+04,5.610e+04,2.00,2.800e+05,5.610e+05,2.00,2.800e+06,5.610e+06,2.00
λ=1e-08,0.10%,2.865e-03,2.862e-03,2.862e-03,285,561,1.97,2.850,5.610,1.97,28.500,56.100,1.97,285,561,1.97,2850,5610,1.97,2.850e+04,5.610e+04,1.97,2.850e+05,5.610e+05,1.97,2.850e+06,5.610e+06,1.97
